('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         450170 function calls (434968 primitive calls) in 2.204 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.000    0.000    0.000    0.000 request.py:613(__lt__)
       16    0.000    0.000    0.000    0.000 typing.py:522(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       16    0.001    0.000    0.003    0.000 enum.py:179(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    15/11    0.000    0.000    0.076    0.007 {built-in method builtins.__import__}
